stat-name,user,supervisor,hypervisor,machine,total
cycles,213870233,4042836,0,42316,217955385
commits,182972159,1517927,0,21126,184511212
ins_fetch,204118996,1940136,0,23675,206082807
sim_time_milli_sec,0,0,0,0,87820
insn_mem_delay,221794,464477,0,5157,691428
data_mem_delay,324635,1280801,0,2095,1607531
exec_unit_delay,0,0,0,0,0
load_insn,28048165,361911,0,5986,28416062
store_insn,7889641,225891,0,5390,8120922
atomic_insn,136,16022,0,0,16158
system_insn,243,21246,0,1572,23061
aritmetic_insn,106853272,620577,0,6186,107480035
cond_branches,31349928,209184,0,1236,31560348
jal_insn,2920648,32751,0,138,2953537
jalr_insn,1210988,27820,0,618,1239426
int_mul_insn,4698348,1932,0,0,4700280
int_div_insn,436,81,0,0,517
fp_load_insn,82,224,0,0,306
fp_store_insn,243,288,0,0,531
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,4741670,7896,0,0,4749566
load_half_word_insn,8986661,943,0,0,8987604
load_word_insn,2424909,44852,0,458,2470219
load_double_word_insn,11895007,308444,0,5528,12208979
itlb_reads,26780433,201104,0,2971,26984508
itlb_hits,26777232,178669,0,2605,26958506
load_tlb_reads,28699099,389887,0,5988,29094974
load_tlb_hits,28598246,356354,0,5370,28959970
store_tlb_reads,7890102,242093,0,5390,8137585
store_tlb_hits,7888863,229136,0,5186,8123185
cond_branches_taken,17040768,83862,0,574,17125204
cond_branches_pred_correct,27731189,159126,0,812,27891127
cond_branches_pred_incorrect,4134706,58151,0,527,4193384
uncond_branches_pred_correct,3563276,23780,0,264,3587320
uncond_branches_pred_incorrect,774205,47658,0,522,822385
btb_reads,240322372,2228851,0,25800,242577023
btb_hits,70036751,361950,0,2625,70401326
btb_inserts,3546485,174132,0,1446,3722063
btb_updates,35149077,261659,0,1965,35412701
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140650855,1016949,0,12332,141680136
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,224,0,0,325
csr_reads,7,15947,0,1390,17344
csr_writes,2,13984,0,772,14758
fu_alu_accesses,182504411,1588297,0,19891,184112599
fu_mul_accesses,4858406,1952,0,0,4860358
fu_div_accesses,470,112,0,0,582
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3201,22437,0,0,25638
load_page_walks,100852,33374,0,0,134226
store_page_walks,1239,12957,0,0,14196
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,138,0,0,138
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,186,0,0,0,186
supervisor_ecall,0,22,0,0,22
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,125,8,0,0,133
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,22,0,0,0,22
machine_timer_interrupt,22,0,0,0,22
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,1,0,0,1
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5994098,156077,0,2781,6152956
L1_icache_reads,204118996,1940136,0,23675,206082807
L1_icache_read_misses,4506,13573,0,149,18228
L1_dcache_reads,28736127,529343,0,5850,29271320
L1_dcache_read_misses,7039,18635,0,36,25710
L1_dcache_writes,7890031,242100,0,5368,8137499
L1_dcache_write_misses,609,9649,0,45,10303
L2_cache_reads,12198,41947,0,230,54375
L2_cache_read_misses,7981,25778,0,90,33849
L2_cache_writes,2918,15320,0,35,18273
L2_cache_write_misses,46,164,0,0,210
