stat-name,user,supervisor,hypervisor,machine,total
cycles,215901482,4206094,0,41843,220149419
commits,182972217,1571642,0,21791,184565650
ins_fetch,204961316,2028831,0,24504,207014651
sim_time_milli_sec,0,0,0,0,77154
insn_mem_delay,220320,533576,0,3586,757482
data_mem_delay,337916,1310412,0,1478,1649806
exec_unit_delay,0,0,0,0,0
load_insn,28048164,372981,0,6171,28427316
store_insn,7889649,228293,0,5555,8123497
atomic_insn,135,16072,0,0,16207
system_insn,243,21426,0,1617,23286
aritmetic_insn,106853309,654812,0,6391,107514512
cond_branches,31349927,213270,0,1276,31564473
jal_insn,2920652,33536,0,143,2954331
jalr_insn,1210988,28675,0,638,1240301
int_mul_insn,4698352,1973,0,0,4700325
int_div_insn,444,92,0,0,536
fp_load_insn,82,224,0,0,306
fp_store_insn,243,288,0,0,531
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,4741671,8193,0,0,4749864
load_half_word_insn,8986661,1170,0,0,8987831
load_word_insn,2424907,51695,0,473,2477075
load_double_word_insn,11895007,312147,0,5698,12212852
itlb_reads,26981341,208037,0,3068,27192446
itlb_hits,26978201,185284,0,2691,27166176
load_tlb_reads,28606753,402493,0,6174,29015420
load_tlb_hits,28596153,368371,0,5536,28970060
store_tlb_reads,7890102,244543,0,5555,8140200
store_tlb_hits,7887969,231715,0,5346,8125030
cond_branches_taken,17040768,85829,0,594,17127191
cond_branches_pred_correct,27731376,162829,0,839,27895044
cond_branches_pred_incorrect,4135286,59490,0,550,4195326
uncond_branches_pred_correct,3565568,24812,0,271,3590651
uncond_branches_pred_incorrect,774491,49478,0,544,824513
btb_reads,241168037,2325440,0,26708,243520185
btb_hits,70353453,372985,0,2718,70729156
btb_inserts,3547415,178579,0,1511,3727505
btb_updates,35151782,268565,0,2039,35422386
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140650903,1062925,0,12727,141726555
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,224,0,0,325
csr_reads,7,16067,0,1430,17504
csr_writes,2,14090,0,792,14884
fu_alu_accesses,182432382,1653731,0,20569,184106682
fu_mul_accesses,4858404,1989,0,0,4860393
fu_div_accesses,479,125,0,0,604
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3140,22755,0,0,25895
load_page_walks,10596,33965,0,0,44561
store_page_walks,2133,12828,0,0,14961
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,143,0,0,143
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,186,0,0,0,186
supervisor_ecall,0,22,0,0,22
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,118,8,0,0,126
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,22,0,0,0,22
machine_timer_interrupt,22,0,0,0,22
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,4,0,0,4
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5996257,160634,0,2876,6159767
L1_icache_reads,204961316,2028831,0,24504,207014651
L1_icache_read_misses,4485,15644,0,175,20304
L1_dcache_reads,28652987,543506,0,6031,29202524
L1_dcache_read_misses,7031,19068,0,37,26136
L1_dcache_writes,7890036,244537,0,5533,8140106
L1_dcache_write_misses,610,9525,0,47,10182
L2_cache_reads,12173,44335,0,259,56767
L2_cache_read_misses,8162,27532,0,69,35763
L2_cache_writes,2829,15347,0,45,18221
L2_cache_write_misses,43,131,0,2,176
